	HN_B73L2	HN_B73L4	HN_SDL1	HN_SDL2	LN_B73L1	LN_B73L4	LN_SDL3	LN_SDL4
Zm00001d028021	9	8	25	39	6	3	75	43
Zm00001d028022	641	521	451	485	526	587	692	528
Zm00001d028024	541	504	376	264	757	860	919	870
Zm00001d028025	9	3	8	1	18	9	8	14
Zm00001d028026	185	121	10	9	111	114	16	36
Zm00001d028030	0	0	5	6	0	0	5	4
Zm00001d028032	11	12	2	0	16	10	2	3
Zm00001d028034	1751	1418	1130	1404	1556	1906	1960	1440
Zm00001d028035	16	3	185	305	0	7	267	207
Zm00001d028038	680	427	671	665	569	641	760	679
Zm00001d028039	11	8	10	19	5	9	5	11
Zm00001d028040	212	180	192	163	321	338	303	234
Zm00001d028043	99	65	32	41	53	29	20	13
Zm00001d028045	642	604	514	447	416	572	650	510
Zm00001d028046	5	1	1	1	5	4	1	3
Zm00001d028047	23	22	55	40	46	53	158	77
Zm00001d028050	191	143	175	206	231	265	374	283
Zm00001d028053	132	110	87	74	175	236	234	195
Zm00001d028054	1967	1871	1226	1323	1414	1384	2411	2152
Zm00001d028055	364	369	524	651	330	376	261	271
Zm00001d028056	5227	4167	353	497	2233	3635	110	68
Zm00001d028062	119	130	110	103	84	53	27	16
Zm00001d028064	1335	1018	743	722	1157	1080	541	526
Zm00001d028071	689	488	564	551	384	265	393	314
Zm00001d028073	82	45	69	61	72	31	38	43
Zm00001d028074	552	471	183	186	490	543	255	187
Zm00001d028075	381	320	214	208	563	614	391	293
