taxa	Nitrate_Blup	ChlorophyllA_Blup	ChlorophyllB_Blup	Glutamate_Blup	Malate_Blup	Fumarate_Blup	Fum2_Blup	AminoAcids_Blup	Protein_Blup	Starch_Blup	Sucrose_Blup	Glucose_Blup	Fructose_Blup	PrinicpalComponent1	PrincipalComponent2	DaysToAnthesis
Z013E0076	0.051857	71.3057	29.2174	0.08996	0.40176	-0.025577	0.062364	2.0594	1.164101	0.66394	2.6499	0.494793	0.64334	1.3521	-2.77795	76.5266
Z013E0077	0.04354	39.212	28.09906	0.056543	0.18191	-0.05724	0.03503	3.0198	1.013341	0.826945	2.4058	0.973093	0.82522	-1.7655	-0.17732	76.4331
Z013E0078	0.04318	53.4598	40.6788	0.03942	0.31272	-0.025373	0.062757	1.3658	1.092691	0.79477	2.1356	0.597693	0.6164	1.5544	-0.90186	77.1223
Z013E0079	0.049062	60.2793	28.7327	0.00695	0.22564	-0.04594	0.05717	1.4891	1.139611	0.62564	2.1771	0.754353	0.74144	-0.8218	-1.73059	73.8591
Z013E0080	0.052778	72.2317	27.4802	0.1487	0.39096	0.06803	0.15486	1.77999	1.141841	0.63914	2.7339	0.827513	0.65944	3.6476	0.07392	76.5408
Z013E0081	0.04459	43.0853	28.10282	0.01335	0.3358	-0.0457	0.04582	2.4763	1.060697	0.72652	2.59881	0.902493	0.65854	-0.8821	-0.62587	77.8073
Z013E0082	0.04223	47.1452	27.3956	0.0245	0.18449	-0.05905	0.02784	2.0252	1.011531	0.8802	2.45722	0.613293	0.6619	-2.172	-1.59556	78.1279
Z013E0083	0.04347	49.1358	27.2556	0.04078	0.20992	-0.03773	0.05334	1.74988	1.035121	0.94464	2.4242	0.687023	0.6122	-1.7093	-0.99615	78.481
Z013E0084	0.04383	54.3841	27.8797	0.02297	0.22515	-0.09982	-0.01178	1.6203	1.024711	0.97734	3.2526	0.863763	0.74436	-1.6833	-0.36105	81.0387
Z013E0085	0.04447	50.4656	27.4451	0.07869	0.1915	-0.030017	0.058173	1.724	1.148591	0.95634	2.6364	0.666193	0.729556	-0.6468	-0.74681	77.0144
Z013E0086	0.046089	51.1958	28.5115	0.12506	0.28327	0.04829	0.13658	1.88934	1.018971	0.73774	2.9945	0.539393	0.4364	0.9855	-0.4748	74.786
Z013E0087	0.04295	44.3244	27.6225	0.12149	0.31188	0.01075	0.09785	1.5076	1.072231	0.78455	2.0942	0.701213	0.6209	0.3025	-1.03719	75.2166
Z013E0088	0.04271	46.23	27.5813	0.02782	0.21558	-0.04738	0.04021	1.9465	1.110291	0.89875	2.57146	0.771851	0.66969	-1.0927	-0.65671	78.536
Z013E0089	0.04379	44.521	27.1975	0.04637	0.19939	-0.022995	0.065167	1.86894	1.060784	0.75018	2.157	0.794983	0.70086	-0.6365	-1.17574	77.3348
Z013E0090	0.046742	61.4385	28.03066	0.06532	0.21107	-0.05155	0.03348	1.9422	1.182101	0.77993	2.49857	0.659393	0.65985	-0.4795	-2.022	74.3227
Z013E0091	0.04264	40.7472	26.5995	0.01577	0.23418	-0.05559	0.03253	1.5429	1.045951	0.73242	2.3811	0.779463	0.71315	-1.79	-1.57817	76.6852
Z013E0092	0.03716	44.8934	28.6238	-0.00439	0.23965	-0.03816	0.04994	1.4163	1.030861	1.01044	2.51167	0.882393	0.7998	-2.0797	0.24349	75.4107
